chemin, class, methode, methode_LOC, methode_CLOC, methode_DC, CC, methode_BC
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Classe.java, Classe, getClass_methods, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Classe.java, Classe, computeWMC, 3, 0, 0.0, 2, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Classe.java, Classe, addMethod_String_Methode, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Classe.java, Classe, getMethod_String, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Classe.java, Classe, Classe_String_int_int_int, 4, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Classe.java, Classe, computeBC, 7, 0, 0.0, 2, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Classe.java, Classe, getWMC, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\FichierCSV.java, FichierCSV, exportToCSV_LOC_Analyzer_File, 38, 0, 0.0, 5, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\FindFiles.java, FindFiles, ListJavaFilesInDirectory_File_ArrayList<File>, 13, 34, 2.6153846153846154, 4, 0.6538461538461539
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\FindFiles.java, FindFiles, getFilesList, 5, 1, 0.2, 1, 0.2
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\LinesExtractor.java, LinesExtractor, fileContentLineByLine_File, 8, 22, 2.75, 2, 1.375
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\LOC_Analyzer.java, LOC_Analyzer, classMatcher_String_int, 15, 34, 2.2666666666666666, 3, 0.7555555555555555
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\LOC_Analyzer.java, LOC_Analyzer, getListClasses, 3, 7, 2.3333333333333335, 1, 2.3333333333333335
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\LOC_Analyzer.java, LOC_Analyzer, commentHandling_String, 44, 95, 2.159090909090909, 9, 0.23989898989898992
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\LOC_Analyzer.java, LOC_Analyzer, findMultiLineComment_String, 14, 30, 2.142857142857143, 4, 0.5357142857142857
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\LOC_Analyzer.java, LOC_Analyzer, methodMatcher_String_int, 44, 93, 2.1136363636363638, 6, 0.3522727272727273
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\LOC_Analyzer.java, LOC_Analyzer, analyzer, 56, 126, 2.25, 13, 0.17307692307692307
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\LOC_Analyzer.java, LOC_Analyzer, findSingleComment_String, 6, 12, 2.0, 1, 2.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\LOC_Analyzer.java, LOC_Analyzer, LOC_Analyzer_ArrayList<String>, 4, 9, 2.25, 1, 2.25
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\LOC_Analyzer.java, LOC_Analyzer, classAndMethodHandling_String_int, 38, 83, 2.1842105263157894, 11, 0.1985645933014354
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Main.java, Main, main_String[], 12, 0, 0.0, 2, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, getLOC, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, getName, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, getStart, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, setBC_double, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, incrementCLOC, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, incrementLOC, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, getBC, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, getEnd, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, getCC, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, getCLOC, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, getDC, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, computeDC, 7, 0, 0.0, 2, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, computeCC, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, incrementNoeudPredicat, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, Methode_String_int_int_int, 11, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, computeBC, 7, 0, 0.0, 2, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\test\java\com\francislalonde\ClasseTest.java, ClasseTest, Add_GetMethod, 7, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\test\java\com\francislalonde\ClasseTest.java, ClasseTest, computeWMC_and_BC, 20, 3, 0.15, 3, 0.049999999999999996
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\test\java\com\francislalonde\ClasseTest.java, ClasseTest, methodNotFoundHandling, 4, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\test\java\com\francislalonde\LOC_AnalyzerTest.java, LOC_AnalyzerTest, getListClasses, 2, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\test\java\com\francislalonde\LOC_AnalyzerTest.java, LOC_AnalyzerTest, results, 4, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\test\java\com\francislalonde\MethodeTest.java, MethodeTest, computeDC_CC_BC, 14, 1, 0.07142857142857142, 1, 0.07142857142857142
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\test\java\com\francislalonde\MethodeTest.java, MethodeTest, assertCLOCJavaDocCount, 4, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\test\java\com\francislalonde\MethodeTest.java, MethodeTest, incrementCLOC, 5, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\test\java\com\francislalonde\MethodeTest.java, MethodeTest, incrementLOC, 5, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Classe.java, Classe, getClass_methods, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Classe.java, Classe, computeWMC, 3, 0, 0.0, 2, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Classe.java, Classe, addMethod_String_Methode, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Classe.java, Classe, getMethod_String, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Classe.java, Classe, Classe_String_int_int_int, 4, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Classe.java, Classe, computeBC, 7, 0, 0.0, 2, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Classe.java, Classe, getWMC, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\FichierCSV.java, FichierCSV, exportToCSV_LOC_Analyzer_File, 38, 0, 0.0, 5, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\FindFiles.java, FindFiles, getFilesList, 5, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Main.java, ERROR : Class could not be identified, main_String[], 1, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Main.java, Main, main_String[], 12, 0, 0.0, 2, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, getLOC, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, getName, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, getStart, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, setBC_double, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, incrementCLOC, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, incrementLOC, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, getBC, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, getEnd, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, getCC, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, getCLOC, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, getDC, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, computeDC, 7, 0, 0.0, 2, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, computeCC, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, incrementNoeudPredicat, 3, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, Methode_String_int_int_int, 11, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\main\java\com\francislalonde\Methode.java, Methode, computeBC, 7, 0, 0.0, 2, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\test\java\com\francislalonde\ClasseTest.java, ClasseTest, Add_GetMethod, 7, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\test\java\com\francislalonde\ClasseTest.java, ClasseTest, computeWMC_and_BC, 20, 3, 0.15, 3, 0.049999999999999996
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\test\java\com\francislalonde\LOC_AnalyzerTest.java, LOC_AnalyzerTest, regularCodeTest, 9, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\test\java\com\francislalonde\MethodeTest.java, MethodeTest, computeDC_CC_BC, 14, 4, 0.2857142857142857, 1, 0.2857142857142857
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\test\java\com\francislalonde\MethodeTest.java, MethodeTest, assertCLOCJavaDocCount, 4, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\test\java\com\francislalonde\MethodeTest.java, MethodeTest, incrementCLOC, 5, 0, 0.0, 1, 0.0
C:\Users\Francis\Documents\IntelliJ Projects\Analyzer\src\test\java\com\francislalonde\MethodeTest.java, MethodeTest, incrementLOC, 5, 0, 0.0, 1, 0.0